held_out_region,method,support_size,r2_mean,r2_std,rmse_mean,rmse_std,n_query
Northern Crescent,ridge_support_only,64,0.06159383431578684,0.07148792277067581,25.623517649241712,0.9612227771240819,2490
Northern Crescent,ridge_refit,8,-0.12884971014286467,0.003028666906064298,28.119960570040387,0.09803478687564099,2490
Northern Crescent,ridge_refit,16,-0.1278193841634208,0.004807883428603693,28.107119568577154,0.11651291022739502,2490
Northern Crescent,ridge_refit,32,-0.12551687424868047,0.006591773543565049,28.078394729001893,0.13620143926892941,2490
Northern Crescent,ridge_refit,64,-0.12040518550095869,0.008655645559813631,28.01453552667282,0.16322452282431527,2490
Northern Crescent,mlp_finetune,8,-0.14298773039122703,0.15097826736535472,28.248980395517897,1.793272374970175,2490
Northern Crescent,mlp_finetune,16,-0.2029311287551121,0.18344400913821102,28.965109528366817,2.117370721034162,2490
Northern Crescent,mlp_finetune,32,-0.11518978661992581,0.03545593196285977,27.946410462370647,0.44775643599691406,2490
Northern Crescent,mlp_finetune,64,-0.07742001756359818,0.02475501142442419,27.470498190654382,0.32598895438597353,2490
Northern Crescent,ccpa_no_climate,8,-0.2106355410478125,0.11077169423013565,29.095076628472675,1.2978553729789248,2490
Northern Crescent,ccpa_no_climate,16,-0.29109148629137666,0.10355385050723585,30.05262658217748,1.241029848005796,2490
Northern Crescent,ccpa_no_climate,32,-0.29910053851362406,0.10896977303471778,30.144650639357252,1.327280840178291,2490
Northern Crescent,ccpa_no_climate,64,-0.24307294788952136,0.07441641500617582,29.497853133353175,0.9226786116982921,2490
Northern Crescent,ccpa,8,-0.09217641953413591,0.060157087828544356,27.651005202036053,0.760034132687089,2490
Northern Crescent,ccpa,16,-0.21669956570133678,0.12873163606505922,29.1615902976734,1.5430320590759177,2490
Northern Crescent,ccpa,32,-0.14854793061322993,0.10496795837741212,28.342342575995964,1.2901155149478607,2490
Northern Crescent,ccpa,64,-0.12117092285620382,0.07288802554287135,28.01380291592117,0.9601424575177308,2490
Heartland,ridge,0,-0.6981598580067482,0.02217679784652236,38.862023410722564,0.12145735437423649,1413
Heartland,mlp,0,-0.004840499618989247,0.09392835989086609,29.86290527507175,1.219391174204705,1413
Heartland,ridge_support_only,8,-0.029999890652502526,0.20265021882792109,30.159169236518515,2.9058844626021103,1413
Heartland,ridge_support_only,16,-0.014808143596621859,0.28469290451464735,29.841614865110262,3.9480627718076953,1413
Heartland,ridge_support_only,32,0.10675599377011238,0.07460241789452958,28.168698053044533,1.2346641571667132,1413
Heartland,ridge_support_only,64,0.19378337329813528,0.017039640667392632,26.777078239880417,0.33548422435905634,1413
Heartland,ridge_refit,8,-0.6958381312451849,0.02251467448000904,38.835426423338866,0.13024277991106017,1413
Heartland,ridge_refit,16,-0.6933722242579481,0.023170395112509547,38.807098654280914,0.13088254212627967,1413
Heartland,ridge_refit,32,-0.6889105617318714,0.022450608132158,38.756036398543394,0.1365005131435824,1413
Heartland,ridge_refit,64,-0.6807290437794713,0.02401533089587003,38.66185266629846,0.14078673716492093,1413
Heartland,mlp_finetune,8,0.15417395596585806,0.07952460682596034,27.398479102376132,1.1157099232858205,1413
Heartland,mlp_finetune,16,0.16291465792495283,0.08049487280619501,27.256033837883177,1.1440494073985148,1413
Heartland,mlp_finetune,32,0.17584796002659134,0.04895348383670516,27.06320789424604,0.741407098892942,1413
Heartland,mlp_finetune,64,0.17314203534468503,0.04781293543353388,27.107441409808747,0.6989260239193426,1413
Heartland,ccpa_no_climate,8,-0.26877935902629163,0.073868985532744,33.57893917563573,0.883179830997941,1413
Heartland,ccpa_no_climate,16,-0.2999429069716313,0.07335480137210068,33.98814991542202,0.7636299734355623,1413
Heartland,ccpa_no_climate,32,-0.2883752885679582,0.054440894693608056,33.843610197981555,0.6471613518919702,1413
Heartland,ccpa_no_climate,64,-0.2968617879620296,0.04193045329568579,33.95679907033922,0.39081809509034326,1413
Heartland,ccpa,8,-0.1040591831991153,0.18489810379884272,31.24143201715192,2.5130371517922563,1413
Heartland,ccpa,16,-0.10621485500094888,0.18918490037949381,31.264546780588574,2.6006648964153354,1413
Heartland,ccpa,32,-0.03546430352170669,0.11312716737774324,30.305287336958504,1.5905153672044476,1413
Heartland,ccpa,64,-0.059413638534544864,0.1191512129702204,30.651239006056564,1.5514344092377952,1413
Northern Great Plains,ridge,0,-0.3248691304344752,0.010633424728127217,51.37484197393643,0.279845498795157,1362
Northern Great Plains,mlp,0,-0.7395021278418038,0.27581123155969456,58.71913052913108,4.840550131973817,1362
Northern Great Plains,ridge_support_only,8,-0.6589498215251075,0.5909579149821572,56.76493824048647,10.194847432594866,1362
Northern Great Plains,ridge_support_only,16,-0.3040483887091729,0.17307482579225053,50.88113271556566,3.4956087444254313,1362
Northern Great Plains,ridge_support_only,32,-0.09043113958876363,0.12637279241832172,46.54819331810071,2.7870463576861852,1362
Northern Great Plains,ridge_support_only,64,-0.06598162124177136,0.07527351790907419,46.06228387953193,1.681557204093121,1362
Northern Great Plains,ridge_refit,8,-0.3197183646902541,0.011327389849913678,51.274922843170394,0.3097429576170214,1362
Northern Great Plains,ridge_refit,16,-0.3162437256940866,0.012952364403315639,51.20729573734252,0.33935092269746775,1362
Northern Great Plains,ridge_refit,32,-0.3054383945768967,0.014319256267728925,50.9966088557133,0.36899405276755864,1362
Northern Great Plains,ridge_refit,64,-0.2864367997743202,0.024163518818741212,50.62310369043172,0.55272362760309,1362
Northern Great Plains,mlp_finetune,8,-0.21939242889122962,0.4408849583597594,48.673205757461744,8.85770001067344,1362
Northern Great Plains,mlp_finetune,16,-0.056518830722607175,0.2895983286819502,45.575758806659394,6.031522485968028,1362
Northern Great Plains,mlp_finetune,32,0.04224303949233277,0.14919141724604323,43.58365516372076,3.41874408500246,1362
Northern Great Plains,mlp_finetune,64,0.07063958307921854,0.10885648888941303,42.97395086502357,2.5850527665093916,1362
Northern Great Plains,ccpa_no_climate,8,-0.31132179351167716,0.23778578211338275,50.94488470142171,4.771407717526338,1362
Northern Great Plains,ccpa_no_climate,16,-0.33837320319723885,0.18987572261789004,51.53330441648062,3.7566958151015277,1362
Northern Great Plains,ccpa_no_climate,32,-0.2872341084659559,0.0943118499629318,50.61299033125566,1.8990187282419184,1362
Northern Great Plains,ccpa_no_climate,64,-0.25062073195492907,0.06432094995952631,49.90253513369812,1.3091003557382144,1362
Northern Great Plains,ccpa,8,-0.30206799189202693,0.3233067983951933,50.639435898019414,6.250278723715227,1362
Northern Great Plains,ccpa,16,-0.2711121785036764,0.25315390442920654,50.13908910880639,4.958365860005795,1362
Northern Great Plains,ccpa,32,-0.21711847782329277,0.1344879653401337,49.186136299570634,2.7451011711601603,1362
Northern Great Plains,ccpa,64,-0.181257813396451,0.12582081371612328,48.457565717179705,2.6117099227229055,1362
Prairie Gateway,ridge,0,-0.6114107897592518,0.03337610904515402,55.604282821810195,0.3150878942656282,390
Prairie Gateway,mlp,0,-0.6927739171205521,0.26640378394085207,56.8580321212249,4.5300332473713505,390
Prairie Gateway,ridge_support_only,8,0.15441049522725175,0.18056639112283407,40.096096942527666,4.077745108956418,390
Prairie Gateway,ridge_support_only,16,0.1941618374530011,0.20627674993991804,39.08997316931059,4.629453915542244,390
Prairie Gateway,ridge_support_only,32,0.24130480950489003,0.14957552850250241,38.016255755611425,3.511991447826973,390
Prairie Gateway,ridge_support_only,64,0.3283769546495129,0.026944754093753118,35.898136296065836,0.9065697691123804,390
Prairie Gateway,ridge_refit,8,-0.6032933736525813,0.036780101666021435,55.46322537719634,0.36980549951794667,390
Prairie Gateway,ridge_refit,16,-0.5936738919900794,0.03701134152750881,55.29643722020171,0.3645300304383814,390
Prairie Gateway,ridge_refit,32,-0.5780097346856223,0.04112310932254309,55.022482741765636,0.373859119016022,390
Prairie Gateway,ridge_refit,64,-0.5433879853745255,0.042208228695583425,54.41518713255274,0.43600839341419934,390
